contact;education;day;duration;campaign;previous;poutcome;loan
cellular;unknown;28;184;1;0;unknown;no
cellular;secondary;29;156;2;0;unknown;yes
cellular;secondary;31;35;16;0;unknown;no
cellular;tertiary;19;88;2;0;unknown;no
cellular;secondary;1;347;3;2;success;no
cellular;secondary;16;126;2;8;failure;no
cellular;tertiary;21;157;5;0;unknown;no
telephone;primary;19;123;1;0;unknown;no
unknown;tertiary;7;306;5;0;unknown;yes
unknown;secondary;2;63;1;0;unknown;no
cellular;tertiary;16;119;1;0;unknown;yes
unknown;primary;21;29;1;0;unknown;no
cellular;unknown;31;117;2;0;unknown;no
cellular;tertiary;18;231;2;0;unknown;no
cellular;secondary;8;123;4;0;unknown;yes
cellular;tertiary;18;265;1;0;unknown;no
cellular;secondary;15;144;1;0;unknown;no
unknown;secondary;16;559;3;0;unknown;yes
cellular;tertiary;5;74;1;4;failure;no
cellular;secondary;10;183;1;0;unknown;no
cellular;tertiary;24;631;1;0;unknown;no
cellular;tertiary;12;1282;6;0;unknown;no
unknown;secondary;13;108;2;0;unknown;no
unknown;unknown;11;1199;1;0;unknown;no
unknown;tertiary;23;736;2;0;unknown;no
cellular;tertiary;19;264;1;0;unknown;no
unknown;primary;11;262;1;0;unknown;no
unknown;secondary;13;244;1;0;unknown;no
unknown;primary;19;107;2;0;unknown;no
unknown;primary;24;9;1;0;unknown;no
cellular;secondary;31;149;2;0;unknown;no
cellular;tertiary;28;321;2;0;unknown;no
cellular;secondary;17;224;1;3;failure;no
cellular;tertiary;29;157;6;0;unknown;no
cellular;secondary;11;209;4;0;unknown;no
unknown;tertiary;20;111;3;0;unknown;no
cellular;secondary;8;55;2;4;failure;no
cellular;secondary;9;290;13;0;unknown;yes
unknown;tertiary;6;383;1;0;unknown;no
cellular;tertiary;2;124;3;0;unknown;no
unknown;secondary;8;224;2;0;unknown;yes
cellular;secondary;29;240;1;8;other;no
cellular;tertiary;15;385;3;9;other;no
cellular;tertiary;6;133;1;0;unknown;no
cellular;unknown;11;91;1;0;unknown;no
cellular;secondary;7;63;3;0;unknown;yes
cellular;tertiary;18;192;2;0;unknown;no
unknown;secondary;21;91;2;0;unknown;no
cellular;primary;18;79;1;8;failure;yes
cellular;tertiary;28;96;1;0;unknown;yes
cellular;secondary;20;25;2;0;unknown;no
cellular;secondary;7;227;2;0;unknown;no
cellular;secondary;5;110;1;0;unknown;no
cellular;secondary;7;134;2;0;unknown;no
cellular;secondary;20;213;1;0;unknown;no
cellular;secondary;4;75;1;1;failure;no
cellular;secondary;8;109;2;0;unknown;no
cellular;tertiary;20;162;3;0;unknown;no
cellular;secondary;5;275;1;0;unknown;no
cellular;secondary;22;154;1;1;other;no
cellular;primary;14;632;4;0;unknown;no
cellular;tertiary;15;251;1;0;unknown;yes
telephone;secondary;8;141;1;0;unknown;yes
cellular;secondary;7;63;1;0;unknown;no
cellular;primary;8;259;1;0;unknown;yes
unknown;primary;9;100;1;0;unknown;no
unknown;primary;15;17;10;0;unknown;no
telephone;secondary;21;192;9;0;unknown;no
unknown;primary;19;97;9;0;unknown;no
cellular;secondary;25;41;2;0;unknown;no
unknown;secondary;2;200;3;0;unknown;no
cellular;secondary;20;91;3;0;unknown;no
cellular;tertiary;1;264;1;0;unknown;yes
cellular;secondary;21;397;2;0;unknown;no
unknown;primary;21;86;1;0;unknown;no
cellular;tertiary;5;446;1;0;unknown;no
cellular;secondary;9;304;1;0;unknown;no
unknown;primary;30;88;4;0;unknown;no
cellular;tertiary;20;86;2;0;unknown;no
cellular;secondary;13;63;1;0;unknown;no
cellular;secondary;5;335;2;8;failure;no
cellular;secondary;29;293;2;4;failure;no
unknown;primary;13;227;4;0;unknown;no
unknown;secondary;5;146;2;0;unknown;no
cellular;primary;14;276;3;0;unknown;no
cellular;tertiary;15;238;3;2;failure;no
unknown;secondary;19;144;2;0;unknown;no
cellular;tertiary;8;367;1;0;unknown;no
cellular;secondary;16;132;1;0;unknown;no
unknown;primary;27;42;4;0;unknown;yes
unknown;tertiary;5;227;1;0;unknown;no
telephone;secondary;18;40;8;6;failure;no
unknown;secondary;7;614;2;0;unknown;no
unknown;primary;15;270;1;0;unknown;no
unknown;primary;4;15;1;0;unknown;no
unknown;secondary;23;304;2;0;unknown;no
cellular;secondary;11;79;3;0;unknown;no
cellular;tertiary;3;101;1;0;unknown;no
unknown;primary;5;55;3;0;unknown;no
unknown;secondary;19;205;3;0;unknown;no
cellular;tertiary;13;60;2;0;unknown;no
cellular;primary;20;122;2;0;unknown;no
cellular;secondary;14;557;5;0;unknown;no
telephone;primary;11;42;1;0;unknown;no
cellular;tertiary;28;373;8;0;unknown;no
cellular;tertiary;14;80;3;0;unknown;no
cellular;secondary;7;239;3;0;unknown;no
unknown;tertiary;8;29;1;0;unknown;no
unknown;secondary;20;1663;1;0;unknown;no
unknown;tertiary;20;186;4;0;unknown;no
unknown;secondary;6;430;1;0;unknown;no
telephone;secondary;24;58;2;0;unknown;no
cellular;unknown;25;279;1;1;failure;no
cellular;unknown;28;332;2;0;unknown;no
cellular;tertiary;5;510;2;5;other;no
cellular;secondary;16;218;1;2;failure;no
cellular;secondary;17;74;2;1;failure;no
cellular;secondary;8;676;1;0;unknown;no
cellular;secondary;21;285;3;4;failure;yes
cellular;unknown;8;298;1;0;unknown;no
cellular;secondary;13;80;2;2;other;no
cellular;tertiary;14;342;1;0;unknown;no
cellular;secondary;7;332;1;0;unknown;yes
cellular;tertiary;30;158;1;0;unknown;no
cellular;secondary;14;164;1;0;unknown;no
cellular;secondary;12;121;1;0;unknown;no
cellular;secondary;7;56;1;0;unknown;no
cellular;primary;29;283;1;0;unknown;no
cellular;secondary;7;113;1;2;other;no
cellular;secondary;20;22;5;0;unknown;no
cellular;tertiary;2;159;2;1;failure;no
cellular;tertiary;15;138;1;8;other;no
cellular;tertiary;19;1015;1;2;other;no
telephone;tertiary;2;182;1;0;unknown;no
cellular;tertiary;4;112;3;0;unknown;no
cellular;secondary;10;114;1;0;unknown;no
cellular;primary;29;80;8;0;unknown;yes
telephone;primary;30;66;1;1;other;no
cellular;tertiary;26;135;22;0;unknown;no
cellular;tertiary;7;99;1;0;unknown;no
unknown;secondary;5;761;2;0;unknown;no
cellular;secondary;24;464;1;0;unknown;no
unknown;secondary;20;20;2;0;unknown;no
cellular;secondary;29;206;4;0;unknown;no
unknown;primary;20;64;1;0;unknown;no
cellular;secondary;15;667;3;3;other;no
cellular;tertiary;4;73;3;0;unknown;no
unknown;tertiary;20;156;2;0;unknown;no
cellular;secondary;20;143;2;0;unknown;no
unknown;secondary;15;62;1;0;unknown;no
cellular;secondary;29;219;2;5;failure;yes
cellular;secondary;15;15;3;0;unknown;no
cellular;secondary;29;188;2;0;unknown;no
cellular;primary;11;159;2;0;unknown;no
telephone;secondary;31;121;2;0;unknown;no
cellular;primary;28;345;1;3;other;no
unknown;tertiary;20;717;1;0;unknown;no
cellular;secondary;18;71;3;0;unknown;no
cellular;tertiary;22;38;1;0;unknown;yes
cellular;tertiary;17;336;2;2;success;no
cellular;tertiary;14;104;1;19;failure;yes
cellular;tertiary;20;74;5;0;unknown;yes
cellular;primary;19;156;2;0;unknown;no
cellular;tertiary;29;146;2;0;unknown;no
unknown;secondary;19;882;1;0;unknown;no
unknown;primary;27;84;4;0;unknown;no
unknown;primary;19;114;2;0;unknown;no
unknown;secondary;11;67;3;0;unknown;no
cellular;primary;9;211;11;0;unknown;no
cellular;secondary;19;299;2;0;unknown;no
cellular;secondary;11;102;6;1;failure;yes
unknown;secondary;5;225;1;0;unknown;yes
cellular;primary;21;654;2;0;unknown;no
cellular;secondary;14;234;2;0;unknown;no
telephone;tertiary;24;48;6;0;unknown;no
cellular;tertiary;13;167;1;7;other;no
cellular;secondary;26;500;2;0;unknown;no
cellular;tertiary;7;22;2;0;unknown;no
cellular;tertiary;19;258;2;0;unknown;no
cellular;secondary;19;177;1;0;unknown;yes
unknown;tertiary;28;62;2;0;unknown;yes
cellular;secondary;30;457;1;1;success;no
telephone;secondary;17;460;2;2;failure;no
cellular;primary;22;184;4;0;unknown;no
telephone;primary;13;119;3;3;failure;no
cellular;primary;5;77;6;0;unknown;no
cellular;secondary;23;107;1;0;unknown;yes
unknown;primary;9;1028;2;0;unknown;no
unknown;secondary;14;87;1;0;unknown;no
unknown;primary;9;315;4;0;unknown;no
cellular;tertiary;19;107;2;0;unknown;yes
telephone;primary;16;201;5;0;unknown;yes
cellular;tertiary;29;94;1;2;failure;yes
cellular;tertiary;12;192;2;2;failure;no
cellular;secondary;29;185;2;1;failure;no
cellular;tertiary;17;77;1;0;unknown;no
cellular;secondary;6;142;3;0;unknown;no
cellular;secondary;2;381;1;0;unknown;no
cellular;secondary;17;222;2;0;unknown;yes
cellular;primary;17;106;1;0;unknown;no
unknown;unknown;29;117;1;0;unknown;no
cellular;secondary;7;67;3;0;unknown;no
cellular;tertiary;6;45;2;2;failure;no
cellular;secondary;14;643;2;0;unknown;yes
cellular;tertiary;15;76;1;2;failure;no
cellular;secondary;5;128;2;0;unknown;no
cellular;primary;17;193;2;1;other;no
unknown;tertiary;16;172;6;0;unknown;no
cellular;secondary;2;142;2;0;unknown;no
unknown;secondary;12;140;1;0;unknown;yes
unknown;primary;18;140;2;0;unknown;no
unknown;tertiary;19;257;2;0;unknown;no
cellular;secondary;21;91;2;0;unknown;no
cellular;secondary;20;132;2;0;unknown;no
unknown;secondary;3;284;1;0;unknown;no
cellular;secondary;25;184;2;0;unknown;no
cellular;secondary;18;225;1;0;unknown;no
cellular;tertiary;20;79;3;0;unknown;no
cellular;tertiary;22;156;1;0;unknown;no
cellular;secondary;27;223;2;0;unknown;no
cellular;primary;13;536;2;0;unknown;no
unknown;primary;21;304;2;0;unknown;no
cellular;primary;20;196;2;2;failure;no
unknown;secondary;12;298;2;0;unknown;no
unknown;tertiary;21;86;6;0;unknown;yes
unknown;secondary;8;186;1;0;unknown;no
cellular;secondary;22;24;12;0;unknown;no
cellular;tertiary;18;74;3;0;unknown;yes
unknown;secondary;11;601;1;0;unknown;no
unknown;secondary;27;1168;2;0;unknown;no
cellular;primary;20;277;2;0;unknown;no
cellular;tertiary;6;748;3;0;unknown;yes
unknown;secondary;19;364;1;0;unknown;no
unknown;secondary;19;229;3;0;unknown;no
cellular;tertiary;29;43;13;0;unknown;no
cellular;unknown;15;177;1;0;unknown;no
cellular;tertiary;7;262;1;2;success;no
cellular;tertiary;6;317;1;2;failure;no
unknown;secondary;20;402;22;0;unknown;no
cellular;secondary;1;314;1;0;unknown;no
cellular;secondary;11;109;3;0;unknown;no
cellular;tertiary;25;56;6;0;unknown;no
unknown;secondary;12;169;2;0;unknown;no
cellular;unknown;18;127;1;0;unknown;no
cellular;secondary;20;175;3;0;unknown;no
cellular;secondary;12;56;2;0;unknown;no
cellular;tertiary;8;123;1;0;unknown;yes
telephone;secondary;28;148;2;0;unknown;no
cellular;tertiary;5;231;1;0;unknown;no
cellular;unknown;23;255;1;0;unknown;no
cellular;tertiary;27;37;3;0;unknown;no
cellular;secondary;5;106;1;2;other;no
unknown;unknown;19;95;1;0;unknown;no
cellular;tertiary;9;820;2;0;unknown;no
cellular;secondary;24;116;1;3;failure;yes
cellular;secondary;12;463;1;0;unknown;no
cellular;secondary;12;603;3;0;unknown;yes
unknown;secondary;27;47;5;0;unknown;no
cellular;primary;19;126;1;0;unknown;no
cellular;tertiary;29;421;2;0;unknown;no
unknown;secondary;26;174;8;0;unknown;no
cellular;secondary;30;144;1;2;failure;yes
cellular;tertiary;8;191;2;0;unknown;no
telephone;primary;21;222;1;0;unknown;no
cellular;primary;11;206;1;1;failure;no
cellular;secondary;9;74;1;0;unknown;no
unknown;secondary;28;24;1;0;unknown;no
cellular;secondary;6;7;11;1;failure;no
cellular;primary;15;493;7;0;unknown;no
cellular;secondary;3;350;3;0;unknown;no
unknown;secondary;6;250;3;0;unknown;no
cellular;tertiary;28;86;4;0;unknown;no
cellular;tertiary;20;371;1;0;unknown;no
unknown;primary;9;419;2;0;unknown;no
unknown;tertiary;8;2087;2;0;unknown;no
cellular;secondary;15;22;4;0;unknown;no
unknown;secondary;5;266;1;0;unknown;no
cellular;secondary;21;191;1;0;unknown;no
cellular;tertiary;19;222;4;2;success;no
telephone;secondary;17;264;3;0;unknown;yes
unknown;tertiary;9;184;5;0;unknown;no
cellular;secondary;28;95;3;0;unknown;yes
cellular;tertiary;13;127;2;0;unknown;no
cellular;primary;31;395;4;0;unknown;no
cellular;tertiary;8;174;1;0;unknown;no
cellular;tertiary;27;124;1;0;unknown;no
unknown;primary;26;102;2;0;unknown;no
cellular;secondary;17;279;1;0;unknown;no
cellular;primary;27;76;11;0;unknown;no
cellular;secondary;11;472;2;0;unknown;no
cellular;secondary;18;84;11;0;unknown;no
cellular;tertiary;20;271;1;1;failure;yes
telephone;secondary;11;172;5;5;failure;no
cellular;secondary;8;375;2;0;unknown;yes
cellular;tertiary;12;130;2;0;unknown;no
unknown;secondary;12;303;3;0;unknown;no
unknown;tertiary;16;261;1;0;unknown;no
cellular;secondary;17;229;3;0;unknown;yes
cellular;tertiary;1;288;1;0;unknown;no
cellular;tertiary;18;219;3;0;unknown;no
unknown;secondary;30;891;4;0;unknown;no
unknown;tertiary;26;204;1;0;unknown;no
unknown;tertiary;20;19;6;0;unknown;no
cellular;secondary;25;158;2;0;unknown;no
unknown;primary;8;314;1;0;unknown;no
unknown;secondary;19;215;1;0;unknown;no
cellular;tertiary;25;169;4;0;unknown;no
cellular;secondary;31;101;4;0;unknown;no
unknown;secondary;20;15;13;0;unknown;no
unknown;secondary;21;260;5;0;unknown;no
unknown;secondary;17;287;4;0;unknown;no
cellular;secondary;22;371;2;0;unknown;no
cellular;secondary;11;149;1;5;failure;no
unknown;secondary;21;187;1;0;unknown;yes
unknown;secondary;21;32;1;0;unknown;no
unknown;tertiary;5;138;1;0;unknown;no
unknown;secondary;17;228;2;0;unknown;no
telephone;secondary;3;353;2;0;unknown;no
unknown;secondary;8;45;2;0;unknown;no
cellular;secondary;9;76;2;0;unknown;no
unknown;secondary;6;144;2;0;unknown;yes
cellular;secondary;19;168;2;0;unknown;no
unknown;primary;17;94;1;0;unknown;no
unknown;primary;17;118;3;0;unknown;no
cellular;secondary;18;382;1;0;unknown;no
cellular;unknown;19;111;1;0;unknown;no
cellular;secondary;15;298;2;0;unknown;no
unknown;secondary;30;121;1;0;unknown;no
unknown;tertiary;15;317;7;0;unknown;no
unknown;tertiary;5;42;1;0;unknown;yes
cellular;secondary;5;81;2;0;unknown;no
cellular;secondary;3;296;1;3;failure;no
telephone;secondary;25;259;2;0;unknown;yes
cellular;secondary;6;121;6;3;other;no
cellular;secondary;15;432;3;0;unknown;no
cellular;tertiary;8;126;2;0;unknown;no
cellular;tertiary;16;120;4;0;unknown;no
cellular;primary;29;136;1;0;unknown;no
cellular;secondary;17;1130;3;0;unknown;no
cellular;secondary;17;330;2;3;success;no
cellular;secondary;23;305;2;0;unknown;no
unknown;secondary;20;332;3;0;unknown;no
cellular;secondary;11;157;1;0;unknown;no
cellular;secondary;8;297;2;0;unknown;no
cellular;tertiary;18;307;1;0;unknown;no
telephone;secondary;4;250;2;2;success;no
cellular;tertiary;30;119;1;0;unknown;no
cellular;tertiary;7;116;2;0;unknown;no
telephone;primary;7;274;1;0;unknown;no
cellular;tertiary;5;389;1;2;success;no
cellular;secondary;4;143;1;0;unknown;no
unknown;primary;21;420;2;0;unknown;no
cellular;tertiary;18;756;1;0;unknown;no
cellular;secondary;7;259;3;0;unknown;no
cellular;secondary;23;201;16;0;unknown;no
unknown;secondary;13;19;9;0;unknown;yes
cellular;unknown;18;53;1;3;failure;yes
cellular;secondary;14;224;4;0;unknown;no
cellular;secondary;13;57;5;1;other;no
unknown;secondary;30;251;1;0;unknown;no
cellular;tertiary;16;39;1;3;failure;no
unknown;tertiary;18;54;3;0;unknown;yes
unknown;tertiary;23;28;18;0;unknown;yes
cellular;secondary;12;104;1;2;other;no
cellular;tertiary;27;164;2;2;failure;no
cellular;tertiary;7;268;2;0;unknown;no
cellular;secondary;17;148;1;0;unknown;yes
unknown;secondary;7;228;3;0;unknown;no
cellular;secondary;18;139;5;0;unknown;no
cellular;primary;18;89;3;0;unknown;no
cellular;primary;15;250;2;1;success;no
unknown;secondary;23;106;6;0;unknown;no
cellular;secondary;18;968;1;0;unknown;no
cellular;secondary;6;168;3;0;unknown;yes
cellular;tertiary;24;408;14;0;unknown;no
cellular;tertiary;23;56;4;0;unknown;no
cellular;primary;28;55;5;0;unknown;yes
cellular;primary;11;72;5;0;unknown;no
cellular;secondary;13;99;3;0;unknown;no
cellular;tertiary;14;178;1;0;unknown;no
unknown;secondary;9;287;1;0;unknown;no
cellular;tertiary;14;141;1;2;other;no
cellular;tertiary;21;127;1;2;failure;no
cellular;secondary;4;69;2;0;unknown;no
unknown;primary;4;763;4;0;unknown;no
cellular;tertiary;17;122;1;1;failure;no
cellular;tertiary;18;143;1;0;unknown;no
cellular;tertiary;2;316;3;0;unknown;no
telephone;unknown;30;89;2;0;unknown;no
cellular;primary;15;151;1;1;failure;no
cellular;tertiary;19;40;1;0;unknown;no
unknown;secondary;4;5;1;12;failure;yes
cellular;secondary;18;90;1;0;unknown;no
cellular;tertiary;21;50;1;5;other;no
cellular;secondary;15;159;2;3;failure;no
cellular;secondary;22;344;2;8;other;no
cellular;secondary;4;256;2;1;failure;no
cellular;secondary;26;298;1;0;unknown;no
cellular;secondary;11;268;3;0;unknown;yes
cellular;secondary;13;231;1;0;unknown;no
unknown;tertiary;27;4;4;0;unknown;no
unknown;secondary;5;419;1;0;unknown;no
telephone;tertiary;13;421;3;0;unknown;no
cellular;secondary;10;105;1;0;unknown;yes
unknown;tertiary;6;42;1;0;unknown;no
cellular;tertiary;26;114;7;3;failure;no
cellular;tertiary;26;286;2;0;unknown;no
cellular;unknown;1;238;1;2;success;no
unknown;secondary;11;91;1;0;unknown;no
cellular;secondary;13;766;3;0;unknown;no
cellular;unknown;28;92;1;0;unknown;no
cellular;secondary;4;211;3;0;unknown;no
cellular;tertiary;7;160;2;3;failure;no
cellular;tertiary;3;166;3;0;unknown;no
cellular;secondary;21;195;1;0;unknown;no
cellular;tertiary;16;106;1;0;unknown;yes
cellular;secondary;23;85;3;0;unknown;yes
cellular;primary;24;78;1;0;unknown;no
unknown;tertiary;28;648;1;0;unknown;yes
cellular;secondary;18;177;2;1;other;no
unknown;secondary;27;32;1;0;unknown;no
cellular;secondary;29;24;12;0;unknown;no
unknown;primary;7;688;2;0;unknown;no
unknown;tertiary;27;21;5;0;unknown;no
cellular;tertiary;3;593;1;0;unknown;no
cellular;primary;7;59;2;0;unknown;yes
cellular;tertiary;29;121;3;0;unknown;no
telephone;primary;28;97;2;0;unknown;no
cellular;tertiary;11;86;2;0;unknown;no
cellular;tertiary;23;205;3;0;unknown;no
unknown;secondary;9;77;2;0;unknown;no
cellular;secondary;18;138;2;0;unknown;no
cellular;secondary;3;289;1;0;unknown;no
cellular;secondary;4;86;4;0;unknown;no
telephone;tertiary;22;9;3;0;unknown;no
cellular;secondary;14;225;1;1;failure;yes
cellular;tertiary;22;407;4;0;unknown;no
unknown;secondary;3;1030;6;0;unknown;yes
cellular;unknown;13;123;2;0;unknown;no
cellular;tertiary;22;119;4;0;unknown;no
cellular;tertiary;18;175;1;5;failure;no
unknown;secondary;9;299;5;0;unknown;no
cellular;tertiary;5;563;1;0;unknown;no
unknown;secondary;9;241;1;0;unknown;yes
cellular;secondary;4;52;4;1;other;no
cellular;tertiary;2;76;3;0;unknown;no
cellular;secondary;19;441;1;0;unknown;yes
cellular;tertiary;22;319;1;1;success;no
unknown;secondary;18;13;1;6;success;no
unknown;tertiary;16;803;1;0;unknown;no
cellular;secondary;12;396;2;0;unknown;no
unknown;tertiary;18;188;1;0;unknown;no
cellular;secondary;20;637;1;0;unknown;no
unknown;secondary;5;175;7;0;unknown;no
cellular;secondary;6;945;1;1;success;no
unknown;tertiary;23;162;3;0;unknown;no
unknown;primary;12;1178;3;0;unknown;no
cellular;tertiary;12;409;2;0;unknown;no
cellular;secondary;14;116;3;0;unknown;no
cellular;tertiary;30;244;1;0;unknown;no
cellular;tertiary;4;352;4;0;unknown;no
cellular;secondary;12;152;1;6;success;no
unknown;tertiary;21;164;2;0;unknown;no
cellular;secondary;27;154;4;0;unknown;no
cellular;tertiary;27;327;2;3;success;no
cellular;secondary;7;265;3;0;unknown;no
unknown;primary;9;172;1;0;unknown;no
cellular;secondary;22;257;2;0;unknown;no
unknown;tertiary;13;618;1;0;unknown;no
cellular;secondary;28;241;3;0;unknown;no
cellular;secondary;21;936;4;0;unknown;yes
cellular;secondary;7;329;1;1;failure;no
cellular;secondary;14;24;1;1;failure;no
cellular;tertiary;22;177;5;1;failure;no
telephone;primary;13;120;1;0;unknown;no
telephone;tertiary;22;135;3;0;unknown;no
cellular;secondary;9;175;1;0;unknown;no
cellular;tertiary;25;179;1;0;unknown;no
unknown;secondary;30;58;1;0;unknown;no
cellular;secondary;17;342;2;0;unknown;no
cellular;secondary;13;139;2;0;unknown;no
unknown;primary;18;88;8;0;unknown;no
cellular;tertiary;28;210;3;0;unknown;yes
cellular;unknown;2;731;1;3;failure;no
cellular;tertiary;2;670;3;0;unknown;no
unknown;primary;12;63;5;0;unknown;no
cellular;tertiary;8;70;2;0;unknown;yes
cellular;secondary;4;72;6;4;failure;yes
cellular;secondary;15;241;1;1;failure;no
cellular;secondary;5;272;4;0;unknown;no
cellular;tertiary;28;207;8;1;failure;no
cellular;secondary;15;64;6;0;unknown;no
unknown;secondary;12;543;2;0;unknown;no
cellular;secondary;30;166;1;0;unknown;no
cellular;tertiary;26;245;3;7;success;no
unknown;primary;9;94;1;0;unknown;yes
unknown;unknown;20;34;8;0;unknown;no
telephone;primary;30;203;2;0;unknown;no
cellular;tertiary;24;318;1;0;unknown;no
cellular;secondary;13;158;4;0;unknown;no
cellular;secondary;21;177;1;0;unknown;yes
unknown;tertiary;17;56;1;2;other;yes
unknown;secondary;4;172;2;0;unknown;no
cellular;secondary;7;136;1;1;failure;no
cellular;secondary;18;82;3;2;other;yes
unknown;secondary;16;123;1;0;unknown;no
cellular;secondary;20;110;1;0;unknown;no
cellular;secondary;18;415;7;0;unknown;no
cellular;secondary;2;73;1;0;unknown;no
unknown;secondary;16;243;2;0;unknown;no
unknown;secondary;9;137;2;0;unknown;no
unknown;tertiary;23;55;4;0;unknown;no
cellular;secondary;16;255;2;0;unknown;yes
cellular;primary;11;95;1;0;unknown;no
cellular;primary;10;112;1;0;unknown;yes
cellular;secondary;5;205;2;0;unknown;yes
cellular;secondary;18;97;1;1;failure;no
cellular;unknown;2;154;1;0;unknown;no
cellular;primary;13;135;2;2;failure;no
cellular;primary;14;230;1;0;unknown;no
cellular;tertiary;17;349;1;0;unknown;yes
cellular;secondary;8;38;1;0;unknown;no
cellular;tertiary;22;268;1;0;unknown;no
cellular;secondary;28;263;2;0;unknown;no
cellular;primary;18;671;4;0;unknown;no
unknown;secondary;2;197;1;0;unknown;yes
cellular;secondary;28;180;2;0;unknown;no
cellular;secondary;20;452;2;0;unknown;no
unknown;secondary;15;352;1;0;unknown;no
cellular;primary;15;175;4;0;unknown;no
cellular;secondary;19;163;2;0;unknown;yes
unknown;secondary;29;200;2;0;unknown;no
unknown;primary;16;75;7;0;unknown;yes
cellular;secondary;16;227;1;0;unknown;no
cellular;secondary;3;586;3;0;unknown;no
telephone;primary;22;80;2;0;unknown;yes
unknown;secondary;19;130;2;0;unknown;no
cellular;primary;3;237;3;0;unknown;no
cellular;tertiary;26;377;8;0;unknown;no
cellular;unknown;7;335;1;0;unknown;no
cellular;secondary;15;127;5;0;unknown;no
unknown;secondary;1;650;2;0;unknown;no
unknown;secondary;16;107;1;0;unknown;no
unknown;secondary;20;610;2;0;unknown;no
cellular;secondary;25;124;4;0;unknown;no
unknown;secondary;8;216;1;0;unknown;no
cellular;tertiary;23;252;9;5;other;no
cellular;secondary;13;121;1;0;unknown;no
cellular;tertiary;23;883;1;4;failure;no
unknown;tertiary;16;197;1;0;unknown;no
cellular;primary;11;271;2;0;unknown;no
unknown;primary;12;221;2;0;unknown;no
cellular;secondary;14;243;3;0;unknown;yes
unknown;primary;15;72;1;0;unknown;no
cellular;secondary;2;155;2;0;unknown;no
telephone;tertiary;28;70;2;0;unknown;no
cellular;tertiary;11;280;4;0;unknown;no
unknown;primary;20;29;2;0;unknown;no
cellular;primary;14;406;2;0;unknown;no
cellular;secondary;25;113;3;0;unknown;yes
telephone;secondary;30;47;2;0;unknown;no
unknown;tertiary;5;36;2;0;unknown;no
unknown;unknown;6;135;2;0;unknown;no
cellular;tertiary;3;67;2;0;unknown;no
unknown;secondary;16;684;1;0;unknown;no
cellular;tertiary;21;686;5;0;unknown;no
cellular;secondary;2;170;3;0;unknown;no
cellular;secondary;14;1060;2;0;unknown;no
unknown;tertiary;6;122;16;0;unknown;no
unknown;secondary;26;724;1;0;unknown;no
cellular;unknown;19;230;1;1;success;no
unknown;tertiary;20;187;2;0;unknown;no
cellular;secondary;4;357;3;0;unknown;yes
unknown;secondary;5;82;1;0;unknown;no
telephone;tertiary;26;176;15;0;unknown;no
cellular;secondary;7;424;1;1;failure;no
unknown;unknown;18;115;1;0;unknown;no
cellular;secondary;3;177;2;3;failure;no
telephone;secondary;9;712;1;12;failure;no
unknown;tertiary;6;118;1;0;unknown;no
unknown;tertiary;12;753;1;0;unknown;no
cellular;tertiary;17;124;1;0;unknown;no
cellular;secondary;30;208;2;0;unknown;no
cellular;secondary;19;1081;2;0;unknown;no
telephone;tertiary;7;376;2;7;failure;no
cellular;secondary;4;78;1;0;unknown;no
cellular;secondary;18;354;1;0;unknown;no
cellular;primary;6;29;1;2;failure;no
cellular;tertiary;19;209;1;4;failure;no
cellular;tertiary;14;433;1;0;unknown;no
unknown;unknown;29;147;2;0;unknown;no
telephone;primary;11;41;2;5;failure;no
unknown;tertiary;26;111;1;0;unknown;no
cellular;secondary;14;108;2;0;unknown;no
cellular;secondary;10;108;2;0;unknown;no
cellular;secondary;3;224;2;0;unknown;no
unknown;secondary;12;1083;2;0;unknown;no
unknown;tertiary;12;757;2;0;unknown;no
unknown;primary;17;57;1;0;unknown;no
cellular;secondary;30;95;5;0;unknown;yes
cellular;tertiary;15;144;2;1;failure;no
cellular;tertiary;15;176;2;0;unknown;no
cellular;secondary;7;524;5;0;unknown;yes
unknown;secondary;13;65;1;0;unknown;no
cellular;secondary;6;653;1;2;success;yes
unknown;secondary;11;91;1;2;other;no
cellular;secondary;10;93;1;0;unknown;no
cellular;tertiary;6;503;2;2;failure;no
cellular;secondary;13;186;1;2;failure;no
unknown;tertiary;23;121;2;0;unknown;no
cellular;tertiary;19;452;2;0;unknown;yes
telephone;primary;22;883;1;1;failure;no
unknown;primary;15;104;2;0;unknown;no
cellular;tertiary;29;24;3;0;unknown;no
telephone;secondary;19;79;9;0;unknown;no
cellular;tertiary;4;178;2;0;unknown;no
cellular;primary;15;74;2;0;unknown;no
cellular;secondary;10;217;1;7;other;no
cellular;tertiary;2;475;1;0;unknown;yes
cellular;secondary;11;101;1;0;unknown;no
cellular;primary;14;340;3;0;unknown;no
cellular;secondary;23;158;4;0;unknown;no
cellular;tertiary;29;242;1;0;unknown;no
unknown;secondary;16;323;1;0;unknown;no
unknown;tertiary;16;18;30;0;unknown;yes
cellular;tertiary;14;68;3;0;unknown;no
cellular;secondary;18;43;4;0;unknown;no
unknown;tertiary;17;200;2;0;unknown;no
cellular;unknown;2;245;2;0;unknown;no
unknown;secondary;16;343;4;0;unknown;no
cellular;secondary;3;229;1;0;unknown;no
cellular;primary;13;58;5;0;unknown;no
cellular;secondary;30;78;2;1;success;no
